,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
151,"http://www.1010jiajiao.com/qx_portal/doc/52575.html","19","12","9","75%","12","20","94.44%"," 00:03:24","1.05",
152,"http://www.1010jiajiao.com/qx_portal/doc/780050.html","19","19","16","84.21%","19","26","84.21%"," 00:05:42","1.37",
153,"http://www.1010jiajiao.com/qx_portal/doc/658210.html","19","16","11","68.75%","16","19","100%"," 00:02:44","1",
154,"http://www.1010jiajiao.com/qx_portal/doc/638467.html","19","17","10","58.82%","17","22","89.47%"," 00:04:05","1.16",
155,"http://www.1010jiajiao.com/qx_portal/doc/843024.html","19","10","7","70%","11","20","100%"," 00:01:35","1.05",
156,"http://www.1010jiajiao.com/qx_portal/doc/721151.html","19","19","17","89.47%","19","19","100%"," 00:01:47","1",
157,"http://www.1010jiajiao.com/qx_portal/doc/760335.html","19","19","15","78.95%","19","22","87.5%"," 00:05:25","1.16",
158,"http://www.1010jiajiao.com/qx_portal/doc/158064.html","19","19","18","94.74%","19","22","88.24%"," 00:04:30","1.16",
159,"http://www.1010jiajiao.com/qx_portal/doc/600964.html","19","16","10","62.5%","16","19","100%"," 00:01:49","1",
160,"http://www.1010jiajiao.com/qx_portal/doc/604679.html","19","18","17","94.44%","18","21","87.5%"," 00:04:57","1.11",
161,"http://www.1010jiajiao.com/qx_portal/doc/480510.html","19","14","10","71.43%","14","21","88.24%"," 00:01:50","1.11",
162,"http://www.1010jiajiao.com/qx_portal/doc/626386.html","18","17","16","94.12%","17","23","81.25%"," 00:08:17","1.28",
163,"http://www.1010jiajiao.com/qx_portal/doc/796174.html","18","18","13","72.22%","18","20","100%"," 00:02:14","1.11",
164,"http://www.1010jiajiao.com/qx_portal/doc/686076.html","18","18","15","83.33%","18","20","88.89%"," 00:03:38","1.11",
165,"http://www.1010jiajiao.com/qx_portal/doc/48398.html","18","16","11","68.75%","16","18","100%"," 00:02:42","1",
166,"http://www.1010jiajiao.com/qx_portal/doc/879597.html","18","18","17","94.44%","18","18","100%"," 00:02:27","1",
167,"http://www.1010jiajiao.com/qx_portal/doc/864029.html","18","15","10","66.67%","15","18","100%"," 00:01:49","1",
